구분,국가,시작일,종료일,성격,비고
단독형,말레이시아,2021-06-29,2021-06-29,B2B,온라인
단독형,태국,2021-07-29,2021-07-30,B2B,온라인
단독형,프랑스,2021-09-09,2021-09-10,B2B,온라인
단독형,호주,2021-07-14,2021-07-15,B2B,온라인
연계형,베트남,2021-11-04,2021-11-05,B2B,온라인
연계형,러시아,2021-11-08,2021-11-09,B2B,온라인
연계형,UAE,2021-10-02,2021-10-03,B2B,온라인
연계형,중국,2021-10-28,2021-10-29,B2B,온라인
단독형,말레이시아,2021-06-01,2021-06-30,B2C,온라인
단독형,태국,2021-07-30,2021-08-01,B2C,온라인
단독형,프랑스,2021-09-10,2021-09-26,B2C,온라인
연계형,베트남,2021-11-06,2021-11-07,B2C,온라인
연계형,러시아,2021-11-11,2021-11-13,B2C,온라인
연계형,UAE,2021-10-04,2021-10-04,B2C,온라인
연계형,중국,2021-10-30,2021-10-31,B2C,온라인
