"","fairy_words_uni","nchar.fairy_words_uni."
"1","a",1
"2","fox",3
"3","one",3
"4","day",3
"5","spied",5
"6","beautiful",9
"7","bunch",5
"8","of",2
"9","ripe",4
"10","grapes",6
"11","hanging",7
"12","from",4
"13","vine",4
"14","trained",7
"15","along",5
"16","the",3
"17","branches",8
"18","tree",4
"19","seemed",6
"20","ready",5
"21","to",2
"22","burst",5
"23","with",4
"24","juice",5
"25","and",3
"26","fox's",5
"27","mouth",5
"28","watered",7
"29","as",2
"30","he",2
"31","gazed",5
"32","longingly",9
"33","at",2
"34","them",4
"35","hung",4
"36","high",4
"37","branch",6
"38","had",3
"39","jump",4
"40","for",3
"41","it",2
"42","first",5
"43","time",4
"44","jumped",6
"45","missed",6
"46","by",2
"47","long",4
"48","way",3
"49","so",2
"50","walked",6
"51","off",3
"52","short",5
"53","distance",8
"54","took",4
"55","running",7
"56","leap",4
"57","only",4
"58","fall",4
"59","once",4
"60","more",4
"61","again",5
"62","tried",5
"63","but",3
"64","in",2
"65","vain",4
"66","now",3
"67","sat",3
"68","down",4
"69","looked",6
"70","disgust",7
"71","what",4
"72","fool",4
"73","i",1
"74","am",2
"75","said",4
"76","here",4
"77","wearing",7
"78","myself",6
"79","out",3
"80","get",3
"81","sour",4
"82","that",4
"83","are",3
"84","not",3
"85","worth",5
"86","gaping",6
"87","very",4
"88","scornfully",10
