sentence,grammar,contents,fluency
1,4,2,3
2,3,2,2
3,3,2,2
4,4,4,4
5,3,2,2
6,4,3,3
7,4,4,3
8,4,4,3
9,4,4,3
10,4,2,3
11,4,3,3
12,4,3,3
13,3,2,2
14,3,2,2
15,4,3,3
16,4,2,2
17,4,4,3
18,4,2,3
19,4,2,3
20,3,2,2
21,4,3,3
22,2,2,2
23,2,2,2
24,3,3,2
25,4,2,4
26,2,2,2
27,2,3,2
28,2,3,2
29,4,2,3
30,4,3,3
31,4,4,3
32,4,3,3
33,4,3,4
34,4,4,3
35,4,3,3
36,4,3,3
37,4,4,3
38,4,4,3
39,3,2,2
40,4,4,3
41,4,3,3
42,4,3,4
43,4,3,3
44,3,2,2
45,4,3,3
46,3,3,3
47,2,2,2
48,4,3,3
49,4,3,4
50,4,4,4
51,3,2,2
52,4,4,3
53,4,3,3
54,4,2,2
55,4,4,3
56,4,2,2
57,3,2,2
58,2,2,2
59,3,2,2
60,3,2,2
61,4,3,4
62,4,3,2
63,3,2,2
64,4,3,3
65,4,4,3
66,4,2,2
67,4,3,2
68,4,4,3
69,4,4,4
70,2,2,2
71,4,4,3
72,3,2,2
73,4,2,3
74,3,3,2
75,4,4,3
76,4,2,3
77,4,4,4
78,4,2,3
79,4,2,2
80,4,3,4
81,3,2,2
82,4,2,3
83,4,4,3
84,4,4,3
85,4,4,4
86,4,4,4
87,4,3,4
88,4,4,3
89,4,4,4
90,4,4,4
91,4,3,3
92,4,4,4
93,4,4,3
94,4,3,3
95,4,2,3
96,4,4,3
97,4,2,2
98,4,3,3
99,4,4,3
100,4,3,3
