"","deletMarkWords","nchar.deletMarkWords."
"1","A",1
"2","Fox",3
"3","one",3
"4","day",3
"5","spied",5
"6","a",1
"7","beautiful",9
"8","bunch",5
"9","of",2
"10","ripe",4
"11","grapes",6
"12","hanging",7
"13","from",4
"14","a",1
"15","vine",4
"16","trained",7
"17","along",5
"18","the",3
"19","branches",8
"20","of",2
"21","a",1
"22","tree",4
"23","The",3
"24","grapes",6
"25","seemed",6
"26","ready",5
"27","to",2
"28","burst",5
"29","with",4
"30","juice",5
"31","and",3
"32","the",3
"33","Foxs",4
"34","mouth",5
"35","watered",7
"36","as",2
"37","he",2
"38","gazed",5
"39","longingly",9
"40","at",2
"41","them
The",8
"42","bunch",5
"43","hung",4
"44","from",4
"45","a",1
"46","high",4
"47","branch",6
"48","and",3
"49","the",3
"50","Fox",3
"51","had",3
"52","to",2
"53","jump",4
"54","for",3
"55","it",2
"56","The",3
"57","first",5
"58","time",4
"59","he",2
"60","jumped",6
"61","he",2
"62","missed",6
"63","it",2
"64","by",2
"65","a",1
"66","long",4
"67","way",3
"68","So",2
"69","he",2
"70","walked",6
"71","off",3
"72","a",1
"73","short",5
"74","distance",8
"75","and",3
"76","took",4
"77","a",1
"78","running",7
"79","leap",4
"80","at",2
"81","it",2
"82","only",4
"83","to",2
"84","fall",4
"85","short",5
"86","once",4
"87","more",4
"88","Again",5
"89","and",3
"90","again",5
"91","he",2
"92","tried",5
"93","but",3
"94","in",2
"95","vain",4
"96","Now",3
"97","he",2
"98","sat",3
"99","down",4
"100","and",3
"101","looked",6
"102","at",2
"103","the",3
"104","grapes",6
"105","in",2
"106","disgust",7
